No,분류,분류,2010년,2010년,2010년,2010년,2011년,2011년,2011년,2011년,2012년,2012년,2012년,2012년,2013년,2013년,2013년,2013년,2014년,2014년,2014년,2014년,2015년,2015년,2015년,2015년,2016년,2016년,2016년,2016년,2017년,2017년,2017년,2017년,2018년,2018년,2018년,2018년
No,분류,분류,가동업체수,재활용폐기물량,재활용제품판매량,판매액,가동업체수,재활용폐기물량,재활용제품판매량,판매액,가동업체수,재활용폐기물량,재활용제품판매량,판매액,가동업체수,재활용폐기물량,재활용제품판매량,판매액,가동업체수,재활용폐기물량,재활용제품판매량,판매액,가동업체수,재활용폐기물량,재활용제품판매량,판매액,가동업체수,재활용폐기물량,재활용제품판매량,판매액,가동업체수,재활용폐기물량,재활용제품판매량,판매액,가동업체수,재활용폐기물량,재활용제품판매량,판매액
No,분류,분류,개소,톤/년,톤/년,천원,개소,톤/년,톤/년,천원,개소,톤/년,톤/년,천원,개소,톤/년,톤/년,천원,개소,톤/년,톤/년,천원,개소,톤/년,톤/년,천원,개소,톤/년,톤/년,천원,개소,톤/년,톤/년,천원,개소,톤/년,톤/년,천원
No,분류,분류,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
1,총계,총계,4062.00 ,35289493.00 ,33246836.00 ,4020987384.00 ,3916.00 ,33569667.00 ,34594753.00 ,4159840519.00 ,4346.00 ,36942863.00 ,31783397.00 ,4561196785.00 ,5180.00 ,40300774.00 ,30193324.00 ,5373568022.00 ,5372.00 ,45485653.00 ,34915541.00 ,6044643610.00 ,5432.00 ,41933951.00 ,28509375.00 ,4964969933.00 ,6085.00 ,55767937.00 ,25871017.00 ,5443226701.00 ,5472.00 ,62381216.00 ,32114024.00 ,6978984727.00 ,19178.00 ,63306251.00 ,50491819.00 ,9093331546.00 
2,총계,재활용제품제조업,3068.00 ,29582558.00 ,31104537.00 ,3375833999.00 ,3017.00 ,28339628.00 ,29494539.00 ,3628350088.00 ,3000.00 ,27160635.00 ,28662537.00 ,3979662268.00 ,3557.00 ,31574043.00 ,26600646.00 ,4719408275.00 ,3693.00 ,35777407.00 ,30327083.00 ,5345189207.00 ,3821.00 ,33879342.00 ,26053374.00 ,4619456714.00 ,4806.00 ,50426912.00 ,24478868.00 ,5209009328.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,
3,총계,기타재활용업,994.00 ,5706935.00 ,2142299.00 ,645153385.00 ,899.00 ,5230040.00 ,5100214.00 ,531490431.00 ,1346.00 ,9782228.00 ,3120860.00 ,581534517.00 ,1623.00 ,8726731.00 ,3592678.00 ,654159747.00 ,1679.00 ,9708246.00 ,4588458.00 ,699454403.00 ,1611.00 ,8054609.00 ,2456001.00 ,345513219.00 ,1279.00 ,5341024.00 ,1392149.00 ,234217372.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,
4,사업장일반폐기물,총계,3736.00 ,33556542.00 ,32033085.00 ,3310664753.00 ,3580.00 ,31459215.00 ,32757555.00 ,3235963232.00 ,3930.00 ,34855730.00 ,30036923.00 ,3425369913.00 ,4731.00 ,37229625.00 ,27568129.00 ,4282911874.00 ,4954.00 ,42913182.00 ,32870932.00 ,5018066155.00 ,5077.00 ,39673079.00 ,27090525.00 ,4043446053.00 ,5584.00 ,52379119.00 ,23566870.00 ,4334592665.00 ,4592.00 ,55416443.00 ,26426446.00 ,5119251587.00 ,15416.00 ,57826415.00 ,46286053.00 ,6942007018.00 
5,사업장일반폐기물,재활용제품제조업,2794.00 ,27889456.00 ,29922972.00 ,2821394781.00 ,2722.00 ,26252755.00 ,27682279.00 ,2917682233.00 ,2688.00 ,25219364.00 ,27047693.00 ,3049547593.00 ,3226.00 ,29405656.00 ,24849734.00 ,3799745360.00 ,3342.00 ,33458710.00 ,28464161.00 ,4507795108.00 ,3506.00 ,31666853.00 ,24638029.00 ,3699691210.00 ,4315.00 ,47039978.00 ,22175661.00 ,4103279651.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,
6,사업장일반폐기물,기타재활용업,942.00 ,5667086.00 ,2110113.00 ,489269972.00 ,858.00 ,5206459.00 ,5075276.00 ,318281000.00 ,1242.00 ,9636366.00 ,2989230.00 ,375822320.00 ,1505.00 ,7823969.00 ,2718395.00 ,483166514.00 ,1612.00 ,9454472.00 ,4406771.00 ,510271047.00 ,1571.00 ,8006226.00 ,2452496.00 ,343754843.00 ,1269.00 ,5339141.00 ,1391209.00 ,231313014.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,
