No,분류,분류,분류,분류,2020년,2020년,2020년,2021년,2021년,2021년
No,분류,분류,분류,분류,발생량,발생량,발생량,발생량,발생량,발생량
No,분류,분류,분류,분류,톤/년,톤/년,%,톤/년,톤/년,%
No,분류,분류,분류,분류,원자료,전기대비증감,전기대비증감률,원자료,전기대비증감,전기대비증감률
1,전국,합계,합계,합계,"17,303,386.4",0,0,"16,751,314.6","-552,071.8",-3.2
2,전국,종량제방식 등 혼합배출,소계,소계,"8,041,965.2",0,0,"8,147,806.3","105,841.1",1.3
3,전국,종량제방식 등 혼합배출,가연성,소계,"6,929,046.9",0,0,"6,927,858.2","-1,188.7",0
4,전국,종량제방식 등 혼합배출,가연성,폐지류,"1,829,611.5",0,0,"1,873,452.9","43,841.4",2.4
5,전국,종량제방식 등 혼합배출,가연성,폐합성수지류,"1,706,740.2",0,0,"1,750,968.8","44,228.6",2.6
6,전국,종량제방식 등 혼합배출,가연성,폐고무류,"145,010.4",0,0,"107,296.2","-37,714.2",-26
7,전국,종량제방식 등 혼합배출,가연성,폐섬유류,"370,664.1",0,0,"396,048.7","25,384.6",6.8
8,전국,종량제방식 등 혼합배출,가연성,음식물류 폐기물,"481,839.1",0,0,"523,535.9","41,696.8",8.7
9,전국,종량제방식 등 혼합배출,가연성,폐목재류,"415,212.3",0,0,"446,902","31,689.7",7.6
10,전국,종량제방식 등 혼합배출,가연성,기타,"1,979,969.3",0,0,"1,829,653.7","-150,315.6",-7.6
11,전국,종량제방식 등 혼합배출,불연성,소계,"852,504.4",0,0,"959,725.8","107,221.4",12.6
12,전국,종량제방식 등 혼합배출,불연성,폐금속류,"160,829.8",0,0,"178,206.8","17,377",10.8
13,전국,종량제방식 등 혼합배출,불연성,폐유리류,"226,757.3",0,0,"239,808.8","13,051.5",5.8
14,전국,종량제방식 등 혼합배출,불연성,폐토사류,"65,799.6",0,0,"76,362.8","10,563.2",16.1
15,전국,종량제방식 등 혼합배출,불연성,폐타일 및 도자기류,"50,142.9",0,0,"46,498.7","-3,644.2",-7.3
